instruction,expected_output
Normalize material names and units across all objects.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""material_names"": ""standardized"", ""units"": ""SI""}}]}"
Set acoustic insulation rating of IfcRoof to Class A.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""acoustic_rating"": ""Class A""}}]}"
Please assign a thermal transmittance of 0.85 W/m²K to all IfcSlab elements labeled 'roof'.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""label"": ""roof"", ""thermal_transmittance"": ""0.85""}}]}"
Could you ensure that all IfcCovering elements on the third floor are marked as 'external' and painted with fire-resistant coating?,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""modify"", ""target_properties"": {""floor"": 3, ""function"": ""external"", ""coating"": ""fire-resistant""}}]}"
"Please add a new IfcRoofWindow with dimensions 1.2 by 1.0 meters at the top floor atrium, facing south.","{""element_updates"": [{""type"": ""IfcRoofWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""top floor atrium"", ""orientation"": ""south"", ""width"": 1.2, ""height"": 1.0}, ""unit"": ""m""}]}"
Normalize all measurement units in IfcPipeFitting and IfcDuctFitting elements to SI and label them accordingly.,"{""element_updates"": [{""type"": ""IfcPipeFitting"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI"", ""label"": ""standardized""}}, {""type"": ""IfcDuctFitting"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI"", ""label"": ""standardized""}}]}"
Please update all IfcValve elements with a pressure rating of PN20 and material to stainless steel.,"{""element_updates"": [{""type"": ""IfcValve"", ""action"": ""modify"", ""target_properties"": {""pressure_rating"": ""PN20"", ""material"": ""stainless steel""}}]}"
Update IfcWallStandardCase on floor 6 to have fire_classification 'EI110'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 6, ""fire_classification"": ""EI110""}}]}"
Update IfcWallStandardCase on floor 7 to have fire_classification 'EI120'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 7, ""fire_classification"": ""EI120""}}]}"
Update IfcWallStandardCase on floor 8 to have fire_classification 'EI130'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 8, ""fire_classification"": ""EI130""}}]}"
Update IfcWallStandardCase on floor 9 to have fire_classification 'EI140'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 9, ""fire_classification"": ""EI140""}}]}"
Update IfcWallStandardCase on floor 10 to have fire_classification 'EI150'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 10, ""fire_classification"": ""EI150""}}]}"
Update IfcWallStandardCase on floor 11 to have fire_classification 'EI160'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 11, ""fire_classification"": ""EI160""}}]}"
Update IfcWallStandardCase on floor 12 to have fire_classification 'EI170'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 12, ""fire_classification"": ""EI170""}}]}"
Update IfcWallStandardCase on floor 13 to have fire_classification 'EI180'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 13, ""fire_classification"": ""EI180""}}]}"
Update IfcWallStandardCase on floor 14 to have fire_classification 'EI190'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 14, ""fire_classification"": ""EI190""}}]}"
Update IfcWallStandardCase on floor 15 to have fire_classification 'EI200'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 15, ""fire_classification"": ""EI200""}}]}"
Update IfcWallStandardCase on floor 16 to have fire_classification 'EI210'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 16, ""fire_classification"": ""EI210""}}]}"
Update IfcWallStandardCase on floor 17 to have fire_classification 'EI220'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 17, ""fire_classification"": ""EI220""}}]}"
Update IfcWallStandardCase on floor 18 to have fire_classification 'EI230'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 18, ""fire_classification"": ""EI230""}}]}"
Update IfcWallStandardCase on floor 19 to have fire_classification 'EI240'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 19, ""fire_classification"": ""EI240""}}]}"
Update IfcWallStandardCase on floor 20 to have fire_classification 'EI250'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 20, ""fire_classification"": ""EI250""}}]}"
Update IfcWallStandardCase on floor 21 to have fire_classification 'EI260'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 21, ""fire_classification"": ""EI260""}}]}"
Update IfcWallStandardCase on floor 22 to have fire_classification 'EI270'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 22, ""fire_classification"": ""EI270""}}]}"
Update IfcWallStandardCase on floor 23 to have fire_classification 'EI280'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 23, ""fire_classification"": ""EI280""}}]}"
Update IfcWallStandardCase on floor 24 to have fire_classification 'EI290'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 24, ""fire_classification"": ""EI290""}}]}"
Update IfcWallStandardCase on floor 25 to have fire_classification 'EI300'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""floor"": 25, ""fire_classification"": ""EI300""}}]}"
Please remove all IfcWindow instances located in the southern elevation.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""south""}}]}"
Add a new IfcDoor to the rooftop terrace with width 1.2m and height 2.4m.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""rooftop terrace"", ""width"": 1.2, ""height"": 2.4}, ""unit"": ""m""}]}"
Insert an IfcWall separating the living room and kitchen with thickness of 0.25 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""between living room and kitchen"", ""thickness"": 0.25}, ""unit"": ""m""}]}"
Remove the main entrance IfcDoor with ID 2015.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""id"": ""2015"", ""location"": ""main entrance""}}]}"
Add IfcRoof with pitch 35 degrees and length 8 meters above kitchen.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""pitch"": 35, ""length"": 8, ""location"": ""kitchen""}, ""unit"": ""m""}]}"
Delete all IfcWall entities on the first basement level.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""floor"": ""basement 1""}}]}"
"Please add two IfcWindow instances in the hallway, each measuring 1.2 x 1.5 meters.","{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""quantity"": 2, ""location"": ""hallway"", ""width"": 1.2, ""height"": 1.5}, ""unit"": ""m""}]}"
Could you place a triangular IfcRoof over the new stairwell?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""shape"": ""triangular"", ""location"": ""stairwell""}}]}"
Remove all IfcDoor objects that lead into unheated spaces.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""zone"": ""unheated""}}]}"
Introduce a curved IfcWall surrounding the courtyard.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""shape"": ""curved"", ""location"": ""courtyard""}}]}"
Add a skylight as an IfcWindow in the upper roof slab.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""upper roof slab"", ""window_type"": ""skylight""}}]}"
Insert a heavy IfcDoor into the vault room with reinforced material.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""vault room"", ""material"": ""reinforced""}}]}"
Delete all IfcRoof elements of type flat within the east wing.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""roof_type"": ""flat"", ""location"": ""east wing""}}]}"
Create a new IfcWall to enclose the entire perimeter of the garage.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""garage"", ""coverage"": ""perimeter""}}]}"
Please remove the IfcWindow objects larger than 3.0 meters in width.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""width"": "">3.0""}}]}"
Install two IfcDoor elements for the emergency exits on floor 3.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""quantity"": 2, ""purpose"": ""emergency exit"", ""floor"": 3}}]}"
Add a sloped IfcRoof for the western module with a pitch of 22 degrees.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""western module"", ""pitch"": 22}}]}"
Insert decorative IfcWall panels in the auditorium rear wall.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""auditorium rear wall"", ""purpose"": ""decorative""}}]}"
Remove all interior IfcDoor units labeled as temporary.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""usage"": ""temporary"", ""placement"": ""interior""}}]}"
Place triple-glazed IfcWindow elements in the office zone north-facing façade.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""glazing"": ""triple"", ""orientation"": ""north"", ""location"": ""office zone""}}]}"
Install a pitched IfcRoof over the main entrance with 28 degree angle.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""pitch"": 28}}]}"
Replace existing IfcDoor in room 101 with soundproof variant.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""room"": ""101"", ""type"": ""soundproof""}}]}"
Delete all IfcWindow units from the facade marked for demolition.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""facade_status"": ""demolition""}}]}"
Add emergency IfcDoor with illuminated signage to stairwell B.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""stairwell B"", ""features"": ""illuminated signage""}}]}"
Please remove any IfcWall elements that intersect with gridline X2.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""grid_intersection"": ""X2""}}]}"
Could you please add a new IfcRoof to the north wing with dimensions 1.68 by 1.01 mm?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""north wing"", ""width"": 1.68, ""height"": 1.01}, ""unit"": ""mm""}]}"
Could you please add a new IfcWindow to the hallway with dimensions 1.66 by 1.59 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""width"": 1.66, ""height"": 1.59}, ""unit"": ""m""}]}"
Kindly delete the IfcDoor with ID 477 located in the hallway.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""id"": 477, ""location"": ""hallway""}}]}"
Could you please add a new IfcRoof to the south facade with dimensions 1.96 by 1.79 m?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""south facade"", ""width"": 1.96, ""height"": 1.79}, ""unit"": ""m""}]}"
Please remove all IfcRoof elements from the bathroom as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Could you please add a new IfcWindow to the roof with dimensions 1.63 by 2.02 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""roof"", ""width"": 1.63, ""height"": 2.02}, ""unit"": ""m""}]}"
Kindly delete the IfcWall with ID 623 located in the living room.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""id"": 623, ""location"": ""living room""}}]}"
Please remove all IfcDoor elements from the south facade as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""south facade""}}]}"
